time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010449150000	18.8454	16.9795	4.70746	2.2227	0.682387	radar	6.18628	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6702	17.2135	4.79655	2.25823	0.680388	lidar	1.86139	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5709	17.4212	4.77154	2.22333	0.509071	radar	6.25837	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.358	17.6131	4.83289	2.27006	0.531405	lidar	3.80334	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.221	17.8063	4.82472	2.26588	0.451095	radar	1.88194	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0927	17.9941	4.80511	2.27833	0.440049	lidar	0.881828	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9153	18.1462	4.78878	2.33127	0.514864	radar	2.41227	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.786	18.2897	4.71873	2.35151	0.51061	lidar	1.10464	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6525	18.4709	4.7027	2.3572	0.47675	radar	6.48365	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4594	18.6537	4.74994	2.38391	0.478704	lidar	0.486337	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2777	18.7934	4.73469	2.42517	0.519667	radar	1.91574	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1173	18.9305	4.69554	2.4495	0.518863	lidar	0.324417	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9499	19.1009	4.70382	2.46029	0.491387	radar	2.93519	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.7331	19.2167	4.7062	2.50214	0.511738	lidar	2.78961	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5427	19.3695	4.72447	2.52878	0.523491	radar	3.2477	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3176	19.531	4.78867	2.55445	0.520758	lidar	0.861555	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0944	19.6126	4.76955	2.61199	0.581514	radar	10.0966	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8886	19.7562	4.79383	2.63257	0.570677	lidar	0.770202	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.7004	19.8826	4.7658	2.62908	0.486512	radar	3.18242	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.47	20.0369	4.83005	2.64508	0.47427	lidar	1.31337	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2576	20.1792	4.85464	2.65513	0.450164	radar	5.56939	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.07	20.3122	4.83898	2.66462	0.435447	lidar	1.76727	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8391	20.3929	4.83774	2.70788	0.479634	radar	2.28446	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6237	20.5127	4.84881	2.72384	0.469975	lidar	0.590762	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3868	20.5986	4.8666	2.76569	0.517093	radar	1.31553	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.14	20.6719	4.8822	2.79948	0.525938	lidar	0.746774	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.9034	20.7429	4.88992	2.83796	0.557991	radar	0.290794	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6285	20.8051	4.93988	2.87468	0.566726	lidar	1.73517	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3818	20.8348	4.94322	2.93437	0.642944	radar	1.92573	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1347	20.8731	4.94415	2.9703	0.647368	lidar	0.140845	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.9044	20.9332	4.93212	2.98688	0.616338	radar	1.91689	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.7038	20.9749	4.8745	3.01091	0.610983	lidar	1.94086	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4523	21.0166	4.89515	3.03621	0.602325	radar	2.58003	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.2045	21.0529	4.90829	3.06099	0.59526	lidar	0.180674	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9673	21.0729	4.90192	3.09126	0.601337	radar	0.897127	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7244	21.0412	4.88209	3.13756	0.621869	lidar	1.77329	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.4789	21.0281	4.87806	3.17089	0.620332	radar	1.04929	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2623	21.0205	4.83933	3.20031	0.620201	lidar	0.681184	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	11.0098	20.9819	4.84834	3.23846	0.625271	radar	4.07091	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7993	20.9425	4.80031	3.27546	0.634634	lidar	0.50927	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5487	20.9458	4.79468	3.26782	0.539573	radar	5.76742	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.265	20.9781	4.87548	3.26446	0.497797	lidar	3.45486	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.025	20.9598	4.87487	3.2827	0.488532	radar	0.993915	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83237	20.9214	4.80285	3.31072	0.495667	lidar	1.69183	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.59367	20.9162	4.78293	3.29949	0.412119	radar	1.79298	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40249	20.8656	4.71584	3.32815	0.424169	lidar	1.10013	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
1477010451450000	9.18065	20.8225	4.70922	3.35403	0.440502	radar	1.55059	9.63392	20.9724	9.11177	20.9128	-4.80919	-1.01362
1477010451500000	8.88685	20.7949	4.80595	3.35961	0.417596	lidar	2.08503	8.70331	20.8221	8.87192	20.8594	-4.78881	-1.12605
1477010451550000	8.67255	20.713	4.78558	3.40073	0.455805	radar	4.63924	9.84634	20.009	8.63315	20.8003	-4.76608	-1.2372
1477010451600000	8.39674	20.6306	4.85462	3.42648	0.457696	lidar	2.77495	8.22277	20.4839	8.39557	20.7358	-4.74108	-1.34701
1477010451650000	8.16777	20.5491	4.85984	3.4602	0.482758	radar	0.185206	8.29647	20.4978	8.1593	20.6657	-4.71387	-1.45542
1477010451700000	7.92607	20.4697	4.87798	3.4831	0.48072	lidar	0.110913	7.88599	20.45	7.92445	20.5903	-4.68453	-1.56237
1477010451750000	7.71095	20.3815	4.87873	3.52335	0.526337	radar	3.55863	8.29081	20.6565	7.69111	20.5096	-4.65313	-1.66781
1477010451800000	7.40054	20.3254	4.99841	3.52078	0.486479	lidar	3.30048	7.18029	20.392	7.45939	20.4237	-4.61975	-1.7717
1477010451850000	7.16747	20.2291	4.99819	3.5428	0.47868	radar	0.213958	7.09214	20.1196	7.22939	20.3326	-4.58448	-1.87399
1477010451900000	6.90285	20.1469	5.04668	3.55312	0.460117	lidar	0.578148	6.81542	20.1859	7.00119	20.2364	-4.54738	-1.97462
1477010451950000	6.67575	20.0559	5.03336	3.56781	0.442592	radar	0.447239	6.89359	20.1536	6.7749	20.1352	-4.50854	-2.07357
1477010452000000	6.42841	19.9649	5.05741	3.58008	0.42955	lidar	0.241482	6.38914	20.0137	6.55059	20.0292	-4.46805	-2.17079
1477010452050000	6.2105	19.8711	5.04087	3.59856	0.429227	radar	2.83491	6.67637	20.2142	6.32834	19.9183	-4.42598	-2.26625
1477010452100000	5.94766	19.7783	5.08883	3.6042	0.408152	lidar	0.647938	5.86119	19.8306	6.10823	19.8027	-4.38241	-2.35993
1477010452150000	5.72042	19.6301	5.12529	3.65162	0.469897	radar	1.99013	5.28178	19.5036	5.89034	19.6824	-4.33744	-2.45178
1477010452200000	5.54725	19.5048	5.05484	3.68479	0.483817	lidar	1.45759	5.69089	19.5755	5.67472	19.5577	-4.29114	-2.5418
1477010452250000	5.34744	19.3548	5.04485	3.72086	0.503121	radar	1.74886	5.9506	18.9859	5.46145	19.4284	-4.24359	-2.62995
1477010452300000	5.13446	19.2526	5.03297	3.73063	0.483934	lidar	1.92396	5.17021	19.4397	5.25059	19.2948	-4.19488	-2.71622
1477010452350000	4.94113	19.1423	4.97422	3.73456	0.436141	radar	4.72147	5.87397	19.301	5.04219	19.157	-4.1451	-2.80059
1477010452400000	4.78188	18.9893	4.91829	3.77273	0.459084	lidar	0.760843	4.89149	18.982	4.8363	19.015	-4.09432	-2.88305
1477010452450000	4.57452	18.8385	4.94952	3.80089	0.478237	radar	1.4444	3.98679	19.0452	4.63297	18.8689	-4.04263	-2.96359
1477010452500000	4.39799	18.706	4.9148	3.82185	0.475528	lidar	1.12177	4.4685	18.834	4.43224	18.7188	-3.99012	-3.0422
1477010452550000	4.21464	18.5651	4.87342	3.83079	0.436363	radar	1.38361	4.69245	18.4634	4.23416	18.5648	-3.93685	-3.11888
1477010452600000	4.09365	18.4079	4.78881	3.87285	0.465958	lidar	1.99487	4.26269	18.481	4.03876	18.4071	-3.88293	-3.19362
